name,domain,density,chrome_level,primary_surfaces,good_for,avoid,notes
quiet-saas,saas admin dashboard tool,dense,low,sidebar table filterbar detail-panel,operations crm analytics settings,"hero cards glow gradients decorative panels",Use restrained borders and clear grouping; speed and scanability beat decoration.
consumer-mobile,consumer mobile social habit ecommerce,medium,medium,bottom-nav cards sheets snackbars,onboarding shopping routines chat,"crowded forms tiny tap targets hidden destructive actions",One primary action per screen and thumb-friendly controls.
finance-trust,fintech banking finance payments analytics,dense,low,metric-strip chart-panel table alert-row,banking investment reporting,"red-green only status saturated chart backgrounds vague units",Use explicit time ranges units and non-color status cues.
health-calm,healthcare wellness clinic forms,medium,low,form sections appointment cards status banners,health records booking wellness,"alarming red decoration low-contrast teal tiny labels",Use calm palette and direct error recovery.
kids-learning,kids education playful learning,low,medium,large cards progress badges big buttons,education games onboarding,"dense text subtle disabled states punishment-heavy errors",Fewer choices per screen with generous targets.
ecommerce-product,ecommerce retail product shop,medium,low,product grid filters cart drawer checkout,retail product browse checkout,"decorative UI competing with product imagery hidden price",Keep products dominant and purchase states explicit.
editorial-reading,news editorial blog reading,medium,low,article column nav rail related list,articles docs magazines,"full-width long lines low contrast body text",Typography and line length carry the experience.
fantasy-rpg-ui,fantasy rpg inventory shop character game,medium,medium,inventory grid item card character panel quest tracker,rpg inventory shop progression,"every slot glowing ornate frames shrinking content",Use craft and rarity carefully; default items stay quiet.
scifi-tactical-ui,sci-fi tactical strategy hud game,dense,medium,map edge panels command grid alert stack,tactical hud strategy dashboards,"all-neon palette animated noise behind text equal alerts",Reserve neon/warning for true tactical urgency.
casual-puzzle-ui,casual puzzle mobile game candy,low,medium,board goal tray booster bar reward modal,puzzle games mobile casual,"hud covering board sale surfaces over gameplay tiny booster counts",Board first; rewards and boosters support the play.
horror-survival-ui,horror survival dark game,low,low,critical hud inventory map objective note,survival horror inventory,"illegible grunge red-on-black low contrast hidden objectives",Sparse is fine; essential state remains readable.
hyper-casual-ui,hyper casual mobile game runner arcade toy,low,low,playfield counters level-complete reward panel,hyper casual runner tap game,"dark mode dense menus tiny labels complex textures",Clear gameplay first with oversized tap targets and bright varied accents.
fun-party-arcade-ui,fun party arcade mobile game social,low,medium,score panel reward card party menu event banner,party arcade celebration games,"all-neon glow random confetti behind text equal primaries",Use energetic accents with stable readable controls and one dominant action.
racing-sports-ui,racing sports timer garage stadium mobile game,medium,medium,timer strip speed hud leaderboard start panel,racing sports competition,"motion blur behind text tiny timers random neon",Speed and score data must stay readable under motion.
strategy-war-room-ui,strategy tactical map war room board game,medium,medium,map edge-panel unit card command bar objective tracker,strategy tactics planning,"panels hiding map decorative chrome equal alerts",Map first; dense controls need strong grouping and clear faction/status cues.
historical-period-ui,historical period ottoman archive museum manuscript mission game app,medium,low,archive card period map ledger tabs artifact tray mission dossier,historical games museum apps period tools,"generic sepia parchment everywhere gold frames old-english body text anachronistic icons",Name the era and region; modern usability with period-native material cues.
cozy-lifestyle-ui,cozy lifestyle garden cafe home routine mobile,medium,low,collection cards calendar routine sheet progress chip,cozy games lifestyle apps,"beige-only palette low contrast decorative clutter",Warm calm scenes with varied muted color and clear progress states.
premium-luxury,premium luxury fashion portfolio product,low,low,large imagery product detail minimal nav,luxury retail portfolio,"gold everywhere fragile contrast slow hidden actions",Use restraint and high-quality imagery; one accent is enough.
idle-incremental-ui,idle incremental automation economy mobile game,medium,low,resource counters upgrade list progress tray prestige modal,idle clicker incremental games,"tiny counters hidden economy rates too many equal upgrade buttons",Progress and income loops first with stable numbers and one clear next upgrade.
merge-crafting-ui,merge crafting workshop collection mobile game,low,medium,merge board item tray collection shelf reward modal,merge games crafting collections,"board hidden by offers tiny item counts every tile framed",Board clarity first with tactile item surfaces and stable slots.
tower-defense-ui,tower defense lane strategy defense game,medium,medium,lane map tower bar wave tracker upgrade panel,tower defense planning and combat,"panels hiding lanes unclear range random warning colors",Map and wave pressure first with clear range and upgrade states.
card-battler-ui,card battler deck tactics turn game,medium,medium,hand row card detail energy meter intent strip,card combat deck builder,"tiny card text all rarity glow hidden enemy intent",Cards must be readable and intent states visible before effects.
roguelike-run-ui,roguelike dungeon run loot game,medium,low,run hud room map loot choice relic bar,roguelike runs dungeon crawlers,"mystery over readability red black low contrast hidden route choice",Sparse tension with clear choice consequence and legible loot.
platformer-adventure-ui,platformer side scroller adventure game,low,low,score strip lives meter level card pause panel,platformers runners adventure games,"hud covering jump path tiny lives generic dark chrome",Gameplay path stays clear with simple readable HUD.
fps-action-hud,fps action shooter combat hud game,dense,medium,ammo strip health armor minimap objective marker,fps shooters action combat,"center clutter tiny ammo warnings same color as decoration",Critical combat readouts must be glanceable under motion.
survival-crafting-ui,survival crafting wilderness inventory game,medium,medium,resource tray condition meters crafting grid backpack panel,survival crafting inventory,"decorative grit hiding counts every item outlined no condition hierarchy",Resources condition and craftability need strong grouping.
rhythm-music-ui,rhythm music beat stage game,low,medium,beat lane score combo song card result panel,rhythm games music apps,"glow behind notes unreadable combo random neon everywhere",Beat lane clarity first with glow reserved for timing feedback.
casino-slot-ui,casino slot reward luck game,medium,medium,reel frame balance strip bet controls payout table,casino slot reward screens,"fake luxury gold everywhere hidden odds confusing purchase states",Reward drama must not obscure balance bet and payout clarity.
sports-arena-ui,sports team scoreboard match competition,medium,medium,scoreboard stat strip lineup card bracket panel,sports matches league screens,"tiny score equal team states motion blur behind stats",Scores teams and time remain readable at a glance.
city-builder-ui,city builder civic planning simulation,dense,medium,map grid zoning toolbar resource panel alert queue,city builders management sims,"panels hiding map same color zones no resource priority",Map first with clear zoning resource and alert hierarchy.
farming-cozy-sim-ui,farming cozy sim garden harvest mobile game,medium,low,plot grid inventory basket calendar quest card,farming cozy sims collection games,"beige only low contrast tiny crop timers cluttered shop",Gentle but useful with clear crop timers and collection states.
marketplace-commerce-ui,marketplace ecommerce seller buyer shop app,medium,low,search bar product grid filters seller card checkout sheet,marketplace browse sell checkout,"decorative chrome competing with product price hidden seller trust",Product price availability and trust cues dominate.
wellness-care-ui,wellness meditation habit calm health app,low,low,session card progress ring habit list checkin sheet,wellness habit meditation apps,"washed out contrast slow hidden actions vague progress",Calm surfaces with visible progress and accessible state feedback.
education-study-ui,education study classroom lesson app,medium,low,lesson cards quiz panel progress tracker resource list,education study tools learning games,"dense text subtle disabled states hidden mistakes",Clear learning path with friendly error recovery and progress.
personal-finance-ui,personal finance budgeting planning app,dense,low,budget cards transaction table category chart alert row,budgeting personal finance,"red green only money states hidden time ranges vague totals",Explicit units categories dates and non-color money cues.
medical-ops-ui,medical operations emergency clinical dashboard,dense,low,patient list status board triage panel alert queue,clinical operations emergency dashboards,"decorative dark mode alarming red accents tiny critical labels",Serious low chrome dashboard with red only for true urgency.
social-multiplayer-ui,multiplayer social lobby party leaderboard chat game,medium,medium,lobby slots party panel friends list leaderboard chat,multiplayer lobbies parties social screens,"green-dot-only presence chat over hud silent matchmaking spinner",Show slot ready host state clearly and keep a visible cancel and empty state.
live-ops-event-ui,live-ops season battle pass daily reward event game,medium,medium,season track reward tiers daily panel event banner store,seasonal events battle pass daily rewards,"fake urgency manipulative streak loss glow on every reward",Show claimable locked and expiring honestly in one glance; reserve emphasis for new or claimable.
